Name,Author,Keywords,Link,Notes,Medium
Trajectories of the Earth System in the Anthropocene,"Will Steffen, Johan Rockström, Katherine Richardson, Timothy M. Lenton, Carl Folke, Diana Liverman, Colin P. Summerhayes, Anthony D. Barnosky, Sarah E. Cornell, Michel Crucifix, Jonathan F. Donges, Ingo Fetzer, Steven J. Lade, Marten Scheffer, Ricarda Winkelmann, and Hans Joachim Schellnhuber","tipping points, Earth System trajectories, Anthropocene, biosphere feedbacks, tipping elements, data",https://www.pnas.org/content/115/33/8252/tab-figures-data,,paper
Aerosol,Florian Born,"uncertainty, inspiration",https://florianborn.com/projects/aerosol,,project
"Changing Ocean, Marine Ecosystems, and Dependent Communities",IPCC,ocean,https://www.ipcc.ch/srocc/chapter/chapter-5/,,paper
In-depth Q&A: The IPCC’s special report on the ocean and cryosphere,Carbon Brief,ocean,https://www.carbonbrief.org/in-depth-qa-the-ipccs-special-report-on-the-ocean-and-cryosphere,,article
The Past and the Future of the Earth’s Oldest Trees,Alex Ross,"climate models, trees",https://www.newyorker.com/magazine/2020/01/20/the-past-and-the-future-of-the-earths-oldest-trees,,article
Tree rings provide snapshots of Earth's past climate,Jessica Stoller-Conrad,"climate models, trees",https://climate.nasa.gov/news/2540/tree-rings-provide-snapshots-of-earths-past-climate/,,article
How do climate models work?,Carbon Brief,climate models,https://www.carbonbrief.org/qa-how-do-climate-models-work,,article
Modeling Wicked Problems,Paul N. Edwards,climate models,https://archive.anthropocene-curriculum.org/pages/root/campus-2014/modeling-wicked-problems/,,course
What are Climate Models and How Accurate Are They?,Columbia Earth Institute,climate models,https://blogs.ei.columbia.edu/2018/05/18/climate-models-accuracy/,,article
AI for Earth,Microsoft,"AI, climate modeling, data",https://www.microsoft.com/en-us/ai/ai-for-earth,,project
The Effect of Clouds on Climate: A Key Mystery for Researchers,Yale360,clouds,https://e360.yale.edu/features/the_effect_of_clouds_on_climate_a_key_mystery_for_researchers,,article
External Influences on Modeled and Observed Cloud Trends,Kate Marvel,clouds,https://journals.ametsoc.org/jcli/article/28/12/4820/34968/External-Influences-on-Modeled-and-Observed-Cloud,,paper
Why Clouds Are the Key to New Troubling Projections on Warming,Yale360,clouds,https://e360.yale.edu/features/why-clouds-are-the-key-to-new-troubling-projections-on-warming,,article
New Project Will Analyze Clouds to Make Future Climate Less Nebulous,Columbia Earth Institute,clouds,https://blogs.ei.columbia.edu/2020/09/01/project-clouds-climate-modeling/,,project
on the disappearance of clouds,Tomas Saraceno,clouds,https://studiotomassaraceno.org/on-the-disappearance-of-clouds/,,project
Energy Hogs: Can Huge Data Centers Be Made More Efficient?,Yale360,data warming,https://e360.yale.edu/features/energy-hogs-can-huge-data-centers-be-made-more-efficient,,article
How to stop data centres from gobbling up the world’s electricity,Nature,data warming,https://www.nature.com/articles/d41586-018-06610-y,,article
Your Netflix binging isn’t killing the planet—yet,Quartz,data warming,https://qz.com/1809762/how-much-energy-do-data-centers-really-use/,,article
Modelling: Build imprecise supercomputers,Nature,"data warming, climate models",https://www.nature.com/news/modelling-build-imprecise-supercomputers-1.18437,,article
Asunder,"Tega Brain, Julian Oliver, Bengt Sjölén","climate models, AI, futures",https://we-make-money-not-art.com/asunder-could-ai-save-us-from-the-effects-of-the-climate-crisis/,,project
Farsighted: how we make the decisions that matter the most,Steven Johnson,"climate models, futures, decisions, scenarios",https://g.co/kgs/huqqSx,,book
Can you design a website on a (very) limited energy budget? An interview with Gauthier Roussilhe,Gauthier Roussilhe,data warming,https://we-make-money-not-art.com/can-you-design-a-website-on-a-very-limited-energy-budget-an-interview-with-gauthier-roussilhe/,,article
Digital guide to low tech,Gauthier Roussilhe,"data warming, low tech",http://gauthierroussilhe.com/en/posts/convert-low-tech,,project
Low tech magazine,,data warming,https://solar.lowtechmagazine.com/,,project
"The impacts of climate change at 1.5C, 2C and beyond","Robert McSweeney, Rosamund Pearce","climate models, futures, IPCC",https://interactive.carbonbrief.org/impacts-climate-change-one-point-five-degrees-two-degrees/#,,article
Rapidly declining remarkability of temperature anomalies may obscure public perception of climate change,Frances Moore,"language, remarkability",https://www.nhpr.org/sites/nhpr/files/201903/moore_et_al_2019_-_rapidly_declining_remarkability_of_temperature_anomalies.pdf,,paper
One thousand ways to experience loss: A systematic analysis of climate-related intangible harm from around the world,Tschakert et al.,"language, loss",https://www.sciencedirect.com/science/article/abs/pii/S0959378018308276#!,,paper
Incommensurate States,Patricia Reed,"language, new",https://aestheticmanagement.com/works/incommensurate-states/,,project
Carbon Pyramids,Hans Baumann,"carbon, new visualisations",https://hbaumann.com/,,project
Floods,Nathalie Miebach,"new, weather",https://nathaliemiebach.com/floods.html,,project
It Matters What Stories Tell Stories; It Matters Whose Stories Tell Stories,Donna Haraway,"stories, language",https://www.tandfonline.com/doi/full/10.1080/08989575.2019.1664163,,article
New Extractivism,Vladan Joler,"black box, diagrams, technology",http://fjroxjgxhmd2ymp2.onion/pdf/New%20Extractivism%20A4%20Manual.pdf,,project
Your planetary window,Olafur Eliasson,"perspective, tangible, light",https://olafureliasson.net/archive/artwork/WEK110906/your-planetary-window,,project
,,,,,
